price,tax,manufacturer,model,production year,category,leather interior,fuel type,engine volume,mileage,cylinders,gear box type,drive wheels,wheel,color,airbags
13328,1399.0,lexus,rx450,2010,jeep,yes,hybrid,3.5,186005.0,4,automatic,4x4,leftwheel,silver,12
16621,1018.0,chevrolet,equinox,2011,jeep,no,petrol,3,192000.0,4,tiptronic,4x4,leftwheel,black,8
3607,862.0,ford,escape,2011,jeep,yes,hybrid,2.5,168966.0,4,automatic,4x4,leftwheel,white,0
11726,446.0,honda,fit,2014,hatchback,yes,petrol,1.3,91901.0,4,automatic,front,leftwheel,silver,4
39493,891.0,hyundai,santafe,2016,jeep,yes,diesel,2,160931.0,4,automatic,front,leftwheel,white,4
1803,761.0,toyota,prius,2010,hatchback,yes,hybrid,1.8,258909.0,4,automatic,front,leftwheel,white,12
549,751.0,hyundai,sonata,2013,sedan,yes,petrol,2.4,216118.0,4,automatic,front,leftwheel,grey,12
1098,394.0,toyota,camry,2014,sedan,yes,hybrid,2.5,118365.5,4,automatic,front,leftwheel,black,12
941,1053.0,mercedes-benz,e350,2014,sedan,yes,diesel,3.5,184467.0,4,automatic,rear,leftwheel,white,12
1019,1055.0,lexus,rx450,2013,jeep,yes,hybrid,3.5,138038.0,4,automatic,front,leftwheel,white,12
13500,891.0,hyundai,santafe,2016,jeep,yes,diesel,2,76000.0,4,automatic,front,leftwheel,white,4
549,1079.0,toyota,chr,2018,jeep,yes,petrol,2,74146.0,4,automatic,front,leftwheel,white,12
7683,810.0,hyundai,elantra,2016,sedan,yes,petrol,1.8,121840.0,4,automatic,front,leftwheel,blue,12
28382,810.0,hyundai,elantra,2016,sedan,yes,petrol,1.8,54317.0,4,automatic,front,leftwheel,white,4
549,781.0,hyundai,sonata,2006,sedan,yes,petrol,3.3,295059.0,4,automatic,rear,leftwheel,blue,12
941,781.0,lexus,rx400,2008,jeep,yes,hybrid,3.5,118365.5,4,automatic,4x4,leftwheel,black,12
18826,531.0,hyundai,elantra,2012,sedan,yes,petrol,1.6,112645.0,4,automatic,front,leftwheel,silver,4
20698,586.0,toyota,prius,2012,sedan,yes,plug-inhybrid,1.8,187000.0,4,automatic,front,leftwheel,white,12
17562,1249.0,toyota,camry,2017,sedan,yes,petrol,2.5,39709.0,4,automatic,front,leftwheel,black,12
549,781.0,lexus,gx470,2008,jeep,yes,petrol,4.7,0.0,4,automatic,4x4,leftwheel,white,0
14454,583.0,hyundai,elantra,2011,sedan,yes,petrol,1.6,158787.0,4,automatic,front,leftwheel,silver,4
12074,1537.0,toyota,highlander,2009,jeep,yes,hybrid,3.3,118365.5,4,automatic,4x4,leftwheel,blue,12
15681,1288.0,mercedes-benz,vito,2007,goodswagon,no,diesel,2.0turbo,180000.0,4,manual,rear,leftwheel,white,4
19444,915.0,porsche,cayenne,2014,jeep,yes,diesel,3,175056.0,4,automatic,4x4,leftwheel,white,12
125,781.0,toyota,highlander,2008,sedan,yes,hybrid,3.3,287274.0,4,automatic,4x4,leftwheel,white,12
23235,707.0,hyundai,santafe,2011,jeep,yes,diesel,2,162000.0,4,automatic,front,leftwheel,grey,4
51746,1077.0,toyota,chrlimited,2019,jeep,no,petrol,2,10200.0,4,tiptronic,front,leftwheel,red,12
7527,1486.0,honda,fit,2010,hatchback,no,hybrid,1.3,158000.0,4,automatic,front,right-handdrive,black,4
19121,531.0,hyundai,elantra,2012,sedan,yes,petrol,1.6,103490.0,4,automatic,front,leftwheel,silver,4
314,1399.0,lexus,rx450,2010,jeep,yes,hybrid,3.5,118365.5,4,automatic,4x4,leftwheel,silver,12
24462,751.0,toyota,camry,2013,sedan,yes,petrol,2.4,203200.0,4,automatic,front,leftwheel,blue,4
45734,1091.0,hyundai,h1,2016,universal,yes,diesel,2.5,61057.0,4,automatic,front,leftwheel,black,4
20165,650.0,volkswagen,jetta,2016,sedan,yes,petrol,1.4turbo,11200.0,4,tiptronic,front,leftwheel,black,8
21326,382.0,hyundai,sonata,2014,sedan,yes,hybrid,2.4,141000.0,4,tiptronic,front,leftwheel,white,12
549,1436.0,porsche,cayenne,2010,jeep,yes,petrol,3.6,160259.0,4,automatic,4x4,leftwheel,silver,12
220,1194.0,toyota,tacoma,2013,jeep,yes,petrol,4,239342.0,4,automatic,4x4,leftwheel,silver,12
15681,503.0,toyota,priusc,2012,hatchback,no,hybrid,1.5,128000.0,4,variator,front,leftwheel,skyblue,8
13500,1017.0,hyundai,santafe,2017,jeep,yes,diesel,2,100734.0,4,automatic,front,leftwheel,black,4
34889,891.0,honda,civic,2016,sedan,yes,petrol,2,87768.0,4,automatic,front,leftwheel,blue,4
862,1104.0,audi,q7,2015,jeep,yes,petrol,3,264014.0,4,automatic,4x4,leftwheel,black,0
392,1017.0,mercedes-benz,e300,2017,sedan,yes,petrol,2,1600.0,4,automatic,rear,leftwheel,black,12
38500,639.0,audi,q5,2014,jeep,yes,petrol,2,87000.0,4,tiptronic,4x4,leftwheel,white,12
1411,629.0,nissan,juke,2015,jeep,yes,petrol,1.6,87112.0,4,automatic,4x4,leftwheel,black,0
392,919.0,bmw,535,2012,sedan,yes,petrol,3,204318.0,4,automatic,rear,leftwheel,black,12
23521,781.0,chevrolet,cruzelt,2018,sedan,no,petrol,1.4turbo,22000.0,4,automatic,front,leftwheel,red,6
16935,530.0,ford,fusion,2013,sedan,no,petrol,1.6turbo,83000.0,4,tiptronic,front,leftwheel,silver,8
7213,530.0,nissan,juke,2013,jeep,yes,petrol,1.6,312118.0,4,automatic,front,leftwheel,black,0
20526,640.0,hyundai,tucson,2013,jeep,yes,diesel,2,200279.0,4,automatic,front,leftwheel,grey,4
9722,765.0,hyundai,sonata,2015,sedan,yes,lpg,2,118365.5,4,automatic,front,leftwheel,orange,4
34657,777.0,hyundai,h1,2014,minivan,yes,diesel,2.5,154672.0,4,automatic,front,leftwheel,silver,4
36564,1091.0,hyundai,h1,2016,minivan,yes,diesel,2.5,110969.0,4,automatic,front,leftwheel,black,4
314,779.0,toyota,camry,2013,sedan,yes,hybrid,2.5,225510.0,4,automatic,front,leftwheel,white,12
30063,934.0,hyundai,h1,2015,universal,yes,diesel,2.5,148105.0,4,automatic,front,leftwheel,silver,4
15800,769.0,chevrolet,captiva,2011,jeep,yes,diesel,2.2,255456.0,4,automatic,front,leftwheel,silver,4
43952,1249.0,hyundai,h1,2017,universal,yes,diesel,2.5,111643.0,4,automatic,front,leftwheel,grey,4
53154,891.0,hyundai,santafe,2016,jeep,yes,diesel,2,84506.0,4,automatic,front,leftwheel,silver,4
